Id,Label,timeset,pageranks,modularity_class
1959,@Transmedianna,,0.00022,71
1960,@ZoonaMike,,0.000245,69
1961,@NegusHamitic,,0.000276,87
1962,@steamwildcard,,0.00025,1
1963,@michelangeloRit,,0.000252,60
1964,@Newmanluckyman,,0.000248,90
1965,@RaymondFrenken,,0.000239,69
1966,@GanzoTg,,0.000245,69
1967,@benjacusu,,0.000254,1
1968,@SrK__in,,0.000263,119
1969,@ESodiya,,0.000254,87
1970,@nathanshedroff,,0.000251,60
1971,@YOGESH_BIRADAR_,,0.000263,119
1972,@KeithERipley1,,0.000237,69
1973,@sarahstargalaxi,,0.000259,195
1974,@freakomac,,0.000253,107
1975,@PizzaGateLibya,,0.000248,90
1976,@diannabythesea,,0.000252,60
1977,@debssnackcake,,0.00025,90
1978,@dianahess22,,0.000276,40
1979,@blasko_66,,0.000284,81
1980,@mrthakurdeepak,,0.000263,119
1981,@EkmelAE,,0.000254,1
1982,@pyana14,,0.00025,90
1983,@rajibdey0,,0.000254,1
1984,@ghender62996863,,0.000271,40
1985,@filipe27,,0.000263,119
1986,@naimulkhan,,0.000267,0
1987,@peswestford,,0.000237,71
1988,@RHicks,,0.000263,60
1989,@zakbuddyblair,,0.000248,90
1990,@panda_snehasis,,0.000263,119
1991,@thelaurynafia,,0.000292,61
1992,@collinz0,,0.000267,0
1993,@IamCardenaDenis,,0.000245,69
1994,@DEGoodmanWilson,,0.000274,73
1995,@Wriseup,,0.000248,90
1996,@Adelina_Mazhiqi,,0.000848,178
1997,@taru_koivisto,,0.000245,69
1998,@ASH_LDN,,0.000237,69
1999,@fajarmoektie,,0.00025,1
